id_slug,canonical_term,short_definition,long_definition,category,priority,classification,status
scaling-laws,Scaling Laws,"Predictable relationships showing how an AI model's performance tends to improve as its size, training data, and compute increase.","Scaling laws are part of why the AI industry has invested so heavily in ever-larger models and datasets: research has shown fairly consistent, predictable returns from scaling up these three factors, at least up to a point. Understanding scaling laws helps explain why frontier AI labs are racing to build bigger data centers and why some analysts debate whether those returns are starting to diminish.",Advanced,3,Technical,active
interpretability,Interpretability,The degree to which a person can understand how and why an AI model arrived at a particular output.,"Interpretability is the underlying property; Explainable AI (XAI) refers to the techniques used to improve or surface it. A highly interpretable model's reasoning can be followed step by step; a low-interpretability model (like most large neural networks) functions more like a 'black box,' producing outputs whose internal reasoning is difficult for even its own creators to fully trace.",Advanced,3,Non-Technical,active
fairness,Fairness (in AI),"The principle that an AI system should produce equitable outcomes for all individuals and groups, regardless of attributes like race, gender, or age.","Fairness is one of the most concrete, practical dimensions of AI ethics: it involves testing whether a model's outputs or decisions disproportionately favor or disadvantage particular groups, and taking steps to correct that when found. It's especially critical in sensitive use cases like hiring, lending, and healthcare, where biased outcomes can cause real harm and carry legal risk.",PM Basics,3,Non-Technical,active
ai-fluency,AI Fluency,"The practical ability to work effectively and responsibly with AI tools - understanding their capabilities, limitations, and appropriate use.","AI fluency is less about deep technical knowledge and more about judgment: knowing what an AI tool is good at, when to trust its output and when to double-check it, and how to get useful results out of it. It's essentially the skill this glossary itself is meant to help build.",PM Basics,3,Non-Technical,active
ai-benchmarks,AI Benchmarks,Standardized tests used to measure and compare how well different AI models perform on specific tasks.,"Benchmarks let researchers and companies compare models on a level playing field - testing how well different models answer questions, solve math problems, or write code. Benchmarks have real limitations (models can be specifically tuned to score well on popular benchmarks without necessarily being better in messier real-world use), so benchmark results are a useful data point, not the whole picture, when choosing a model for a product.",Technical-for-PMs,3,Non-Technical,active
emergent-behavior,Emergent Behavior,"New, unexpected abilities that appear in an AI model as it scales up, without being explicitly designed or trained for.","As language models have grown larger, they've sometimes displayed capabilities - like basic arithmetic or writing working code - that weren't specifically targeted during training and weren't present in smaller versions of the same model family. Emergent behavior is part of why scaling has been such a major focus in AI research, though it also makes model behavior harder to fully predict in advance.",Advanced,3,Non-Technical,active
frontier-ai-frontier-models,Frontier AI / Frontier Models,"The most advanced AI models available at any given time, representing the current cutting edge of the field.","'Frontier' is a relative, moving target - today's frontier model will be a mid-tier or legacy model within a year or two, as the field advances quickly. The term is commonly used in industry and policy conversations about the most capable (and potentially highest-risk) systems being developed by leading AI labs.",PM Basics,3,Non-Technical,active
big-data,Big Data,Datasets so large or complex that traditional data-processing tools and methods can't handle them effectively.,"Big data predates the current AI wave by over a decade, but the two are closely linked: the massive datasets that fall under 'big data' are exactly what's needed to train modern machine learning and AI models. It's often described by its volume, velocity (how fast it's generated), and variety (how many different formats/sources it comes from).",PM Basics,3,Non-Technical,active
symbolic-ai,Symbolic AI,"An AI approach that represents knowledge using explicit symbols, rules, and logic, rather than learning patterns from data.","Symbolic AI was the dominant paradigm in early AI research and underlies expert systems - a human encodes structured knowledge and logical rules, and the system reasons over them. It offers strong transparency and explainability but doesn't scale well to messy, ambiguous real-world data the way modern machine learning does. Many current 'Hybrid AI' approaches try to combine the best of both.",Advanced,4,Technical,active
hybrid-ai,Hybrid AI,"An approach that combines rule-based symbolic reasoning with data-driven machine learning, aiming to get the benefits of both.","Hybrid AI tries to pair the transparency and reliability of explicit rules (Symbolic AI) with the flexibility and pattern-recognition strength of machine learning. This combination can be especially valuable in domains like healthcare or finance, where both explainability and adaptability to complex data genuinely matter.",Advanced,4,Technical,active
data-driven-ai,Data-Driven AI,"AI approaches that rely on large-scale data and statistical techniques to find patterns, rather than following pre-defined rules.","This is effectively the framing term for 'modern AI' as contrasted with older, rule-based (symbolic) approaches - it covers the machine learning and deep learning techniques that power most of today's AI products. It's a useful contrast term mainly in academic or historical discussions of how AI has evolved.",Advanced,4,Non-Technical,active
vision-transformer,Vision Transformer (ViT),"An adaptation of the Transformer architecture, originally built for language, applied to image-processing tasks.","Vision Transformers process an image by splitting it into small patches and applying the same attention mechanism used in language models, rather than the sliding-filter approach traditional CNNs use. This has allowed some of the same architectural advances driving progress in LLMs to carry over into computer vision.",Advanced,4,Technical,active
clip,CLIP (Contrastive Language-Image Pretraining),"An AI model, developed by OpenAI, that learns to connect images and their text descriptions.","CLIP was trained on a huge number of image-caption pairs, learning to recognize which pieces of text describe which images. This connection between vision and language underlies many multimodal AI capabilities, including some image-generation and image-search systems.",Advanced,4,Technical,active
continual-learning,Continual Learning,A machine learning approach where a model keeps learning from new data over time without forgetting what it learned before.,"Most deployed AI models are effectively frozen after training - they don't keep learning from new interactions. Continual (or 'lifelong') learning is an active research area aiming to let models update incrementally without the common failure mode of 'catastrophic forgetting,' where learning something new erases previously learned knowledge.",Advanced,4,Technical,active
objective-function,Objective Function,"The general term for whatever goal a model is trying to optimize during training, whether that means minimizing error or maximizing some measure of success.","An objective function is the broader concept; a Loss Function is the most common specific case, where the goal is to minimize error. In other contexts, like reinforcement learning, the objective function might instead be something to maximize (like cumulative reward) rather than minimize.",Advanced,4,Technical,active
gradient-descent,Gradient Descent,"An optimization method that gradually adjusts a model's internal values to reduce its errors, step by step.","Gradient descent is the mathematical technique behind how a model actually learns from its loss function score: it calculates which direction to nudge each weight to reduce error, then takes a small step in that direction, repeating many times over the course of training.",Advanced,4,Technical,active
regularization,Regularization,A technique used during training to prevent a model from overfitting by discouraging it from relying too heavily on overly complex patterns.,"Regularization adds a penalty to the training process that pushes the model toward simpler, more generalizable patterns rather than ones that fit the training data too precisely. It's one of several standard tools (alongside data augmentation and more training data) used to keep a model's performance robust on new, unseen data.",Advanced,4,Technical,active
autoencoder,Autoencoder,"A type of neural network that learns to compress data down to its essential features, then reconstruct the original from that compressed form.","Autoencoders consist of an encoder (which compresses the input) and a decoder (which reconstructs it), trained by trying to make the output match the input as closely as possible after passing through that compression bottleneck. They're used for tasks like anomaly detection, noise removal, and as a building block within some generative AI systems.",Advanced,4,Technical,active
tensor,Tensor,A container for numbers organized across multiple dimensions - the basic data structure AI models compute with.,"A tensor is essentially a generalized version of a spreadsheet: a single number is a 0-dimensional tensor, a list of numbers is 1-dimensional, a grid is 2-dimensional, and so on into higher dimensions used to represent things like batches of images or video.",Advanced,4,Technical,active
tpu,TPU (Tensor Processing Unit),A specialized computer chip designed by Google specifically to accelerate machine learning workloads.,"TPUs are purpose-built for the kind of matrix and tensor math that neural networks rely on, similar in purpose to GPUs but designed from the ground up for AI rather than adapted from graphics rendering. Google uses TPUs extensively for training and running its own AI models, including Gemini.",Advanced,4,Technical,active
k-nn,k-NN (k-Nearest Neighbors),A simple machine learning method that classifies or predicts a new data point based on the most similar examples already seen.,"k-NN works by comparing a new item to the 'k' most similar items in the training data and using their characteristics to make a prediction - for example, predicting a house's value based on the sale prices of the most similar nearby houses. It's valued for being simple and easy to understand, though it can be slow on very large datasets.",Advanced,4,Technical,active
bayesian-networks,Bayesian Networks,Graphical models that represent probability-based cause-and-effect relationships between different variables.,"A Bayesian network maps out how different factors influence each other using probabilities rather than certainties - useful for reasoning under uncertainty, like in medical diagnosis or risk assessment, where you rarely have complete information.",Advanced,4,Technical,active
decision-tree,Decision Tree,"A machine learning model that makes predictions by asking a sequence of yes/no questions, branching toward a final answer.","Decision trees are prized for being relatively easy to interpret - you can trace the exact sequence of questions that led to a given prediction, unlike a neural network's opaque internal reasoning. They're a common building block of more powerful techniques like Ensemble Methods.",Advanced,4,Technical,active
ensemble-methods,Ensemble Methods,Machine learning techniques that combine multiple models together to produce a more accurate result than any single model alone.,"The idea is similar to asking a group of experts for their opinion rather than just one - combining several 'weak' models (like many decision trees) often produces a stronger, more robust prediction. Common approaches include Boosting (training models sequentially, each correcting the last) and Bagging (training many models independently and averaging their results).",Advanced,4,Technical,active
dimensionality-reduction,Dimensionality Reduction,"Simplifying complex data by reducing the number of variables involved, while preserving the most important information.","High-dimensional data (data with many variables) can be difficult and computationally expensive to work with directly. Dimensionality reduction techniques compress that data down to its most essential, informative features - similar in spirit to how embeddings compress meaning into a manageable numerical form.",Advanced,4,Technical,active
data-mining,Data Mining,The process of discovering patterns and relationships in large datasets using statistical and machine learning methods.,"Data mining is closely related to, and predates, much of modern machine learning - it's more focused on discovering interesting patterns and insights within existing data (like purchasing habits or fraud indicators) than on building a model to make ongoing future predictions, though the two overlap significantly in practice.",Advanced,4,Non-Technical,active
predictive-ai,Predictive AI,"The AI-specific framing of using models to forecast future outcomes, trends, or behaviors.","Predictive AI covers the same general territory as Predictive Analytics but emphasizes modern machine learning techniques specifically. It's used across functions like risk assessment, resource planning, and demand forecasting, and is often the least flashy but most immediately monetizable category of AI investment for many businesses.",PM Basics,4,Non-Technical,active
semantic-analysis,Semantic Analysis,"The process of extracting meaning from language by examining relationships between words and phrases, not just their literal text.","Semantic analysis is what allows a system to understand that 'the bank of the river' and 'money in the bank' use the word 'bank' completely differently, based on context. It's a foundational NLP capability underlying tasks like search, translation, and sentiment analysis.",Advanced,4,Technical,active
semantic-search,Semantic Search,"Search that matches results based on meaning and intent, rather than just matching the exact keywords typed in.","Traditional keyword search looks for literal word matches; semantic search uses techniques like embeddings to understand that a search for 'affordable family cars' should also surface results about 'budget-friendly minivans,' even without shared keywords. This is core technology behind modern AI-powered search products and RAG systems.",Advanced,4,Technical,active
spatial-intelligence,Spatial Intelligence,"An AI system's ability to understand and reason about physical space - how objects relate to, move, and interact with each other in the real world.","Spatial intelligence is an emerging frontier for AI research, extending beyond language and 2D image understanding toward genuine 3D physical reasoning - relevant to robotics, autonomous vehicles, and any application where an AI needs to understand real-world physical layouts and movement, not just describe them in words.",Advanced,4,Non-Technical,active
optimization,Optimization,The general process of adjusting a model's settings to improve its performance on a given goal.,Optimization is the umbrella term for the family of techniques (like gradient descent) used to tune a model's parameters so it makes fewer errors or better achieves its objective. It's a foundational concept across virtually every stage of building and training a machine learning model.,Advanced,4,Technical,active
auditable-ai,Auditable AI,"AI systems designed so their processes and decisions can be reviewed, verified, and traced by humans after the fact.","Auditable AI typically involves maintaining detailed logs and documentation of a system's decisions and the data/reasoning behind them, so that outcomes can be reviewed later - important for regulatory compliance and for building trust in sensitive applications like finance or healthcare.",Advanced,4,Non-Technical,active
ai-workflow,AI Workflow,"The end-to-end process of building, deploying, and maintaining an AI system, from data collection through ongoing monitoring.","An AI workflow typically includes stages like data preparation, model training or selection, testing, deployment, and ongoing monitoring for issues like model drift. Understanding this full lifecycle - not just the moment a feature launches - is important for scoping AI work, since maintenance and monitoring are often underestimated costs.",Advanced,4,Non-Technical,active
mlops,MLOps,"The set of practices for reliably deploying, monitoring, and maintaining machine learning models in production.","MLOps borrows from software engineering's DevOps discipline, adapting it to the specific challenges of ML - like tracking which data and model version produced which results, detecting when a model's performance degrades, and safely rolling out model updates.",Advanced,4,Technical,active
llmops,LLMOps,MLOps practices adapted specifically for managing large language model applications in production.,"LLMOps covers concerns specific to LLM-based products - managing prompt versions, tracking token costs, evaluating output quality at scale, and handling the added unpredictability of generative outputs compared to traditional predictive models.",Advanced,4,Technical,active
human-centered-ai,Human-Centered AI (HAI),"An approach to building AI that prioritizes human needs, values, and well-being throughout the design and development process.","Human-centered AI treats usability, trust, and real human impact as first-class design considerations, not afterthoughts bolted on after a model is built. It's more a design philosophy and set of priorities than a specific technique, and it overlaps significantly with Responsible AI practice.",Advanced,4,Non-Technical,active
slop,Slop,"Low-quality AI-generated content - text, images, or video - produced in high volume with little effort or editorial oversight.","'Slop' has become common shorthand for the flood of low-effort AI content saturating search results and social media, often produced purely to capture ad revenue or views. It's a useful term to know both as an industry/culture reference point and as a cautionary example of what to avoid when designing AI-assisted content features.",Advanced,4,Non-Technical,active
large-models,Large Models,"A general term for large-scale AI models with billions or more parameters, trained on vast, diverse datasets.","'Large Models' overlaps heavily with Foundation Model - both describe massive, broadly-capable systems like GPT or Gemini. The main nuance is that 'foundation model' more often emphasizes being a base that other applications get built on top of, while 'large model' is more simply a description of scale.",Advanced,4,Non-Technical,active
parallelization,Parallelization,"Running many computations at the same time rather than one after another, to get work done faster.","Parallelization is fundamental to how modern AI is trained and run: GPUs are specifically designed to perform thousands of calculations simultaneously, which is a big part of why they became the standard hardware for AI. Better parallelization strategies across many chips and machines have become an important factor in how quickly and affordably new models can be built.",Advanced,4,Technical,active
token-throughput,Token Throughput,A measure of how many tokens an AI system can process or generate in a given amount of time.,"Token throughput reflects how much AI work a system can handle at once - a key metric for AI infrastructure teams, since it determines how many users a model can serve simultaneously and how quickly each one gets a response.",Advanced,4,Technical,active
time-to-first-token,Time to First Token (TTFT),The time it takes an AI model to produce the very first piece of its response after receiving a prompt.,"TTFT matters especially for real-time, conversational products - even if a full response takes a while to finish generating, a fast TTFT makes an interaction feel responsive because the user sees something happening quickly.",Advanced,4,Technical,active
validation-data,Validation Data,"A separate portion of data, held back from training, used to check how well a model is learning during development.","Validation data lets engineers tune a model's settings (hyperparameters) and catch problems like overfitting before the model is tested against a final, completely untouched test set. It's distinct from both training data (used to teach the model) and test data (used for a final, unbiased performance check).",Advanced,4,Technical,active
validation-loss,Validation Loss,A running measure of how well a model is performing on validation data during training - lower is generally better.,"Researchers track validation loss closely during training as a kind of real-time progress report: if it stops improving or starts getting worse while training loss keeps improving, that's a warning sign of overfitting. It's commonly used to decide when to stop training a model.",Advanced,4,Technical,active
hhh,"HHH (Helpful, Honest, Harmless)","Anthropic's framework describing the core goals for how Claude should behave: being useful, truthful, and safe.","HHH is a specific, named example of an AI alignment framework - a helpful AI tries to genuinely assist with the task at hand, an honest one avoids hallucinating or overstating its certainty, and a harmless one declines requests that could cause harm and explains why. It's a good concrete illustration of what 'alignment' looks like in practice for a real, deployed product.",Advanced,4,Non-Technical,active
scalable-ai,Scalable AI,"AI systems designed to maintain performance and efficiency as data volume, task complexity, or user demand grows.",Scalability is a practical engineering concern for any AI product expecting significant growth: a system that works well with a hundred users or a small dataset needs different architecture considerations to keep working well at a million users or enterprise-scale data.,Advanced,5,Non-Technical,active
adaptable-ai,Adaptable AI,"AI systems capable of adjusting their behavior in response to changing conditions or user needs, without needing to be reprogrammed.","Adaptable AI is a framing term for systems built to generalize and remain useful across varied or shifting real-world scenarios, rather than being narrowly tuned to one fixed situation - relevant to things like personalized assistants and autonomous systems operating in unpredictable environments.",Advanced,5,Non-Technical,active
structure-learning,Structure Learning (Graph Learning),Identifying the underlying relationships in data by modeling it as a network of connected entities.,"Structure learning treats data as nodes and connections (a graph) and tries to uncover meaningful relationships or dependencies between them - relevant to applications like social network analysis, biological research, and building knowledge graphs.",Advanced,5,Technical,active
cloud-robotics,Cloud Robotics,"Robots that offload heavy computation, storage, and coordination to cloud computing infrastructure rather than doing everything onboard.","By connecting to the cloud, robots can be built lighter and cheaper while still accessing powerful, centralized processing, shared knowledge, and coordination with other machines. It's a niche but growing intersection of robotics and cloud infrastructure.",Advanced,5,Technical,active
nerf,NeRF (Neural Radiance Fields),A technique for building a 3D scene from a set of 2D photos using a neural network.,"NeRF lets you generate new, photorealistic views of a scene from angles that weren't in the original photos, by learning how light behaves within that scene. It's a niche but notable technique within computer vision, relevant to applications like virtual reality and 3D content creation.",Advanced,5,Technical,active
forward-propagation,Forward Propagation,"The process of feeding input data through a neural network, layer by layer, to produce an output.","Forward propagation is simply a prediction happening in real time: the data flows forward through the network's layers until it produces a result. It's the paired concept to backpropagation, which then flows the error signal backward to update the network.",Advanced,5,Technical,active
batch-normalization,Batch Normalization,A technique that stabilizes and speeds up neural network training by standardizing the data flowing between layers.,"Batch normalization keeps the values passing between a network's layers within a consistent, predictable range, which helps training proceed more smoothly and quickly. It's a fairly technical, implementation-level detail mostly relevant to engineers building or tuning models directly.",Advanced,5,Technical,active
lstm,LSTM (Long Short-Term Memory),A specialized type of recurrent neural network designed to remember information over longer sequences than standard RNNs could.,"LSTMs use internal 'gates' to control what information gets remembered or forgotten as they process a sequence, which helped address a key weakness of earlier RNNs on longer text or time-series data. They were a dominant technique for sequential data tasks before Transformers largely replaced them.",Advanced,5,Technical,active
planning,Planning (AI),The process by which an AI system figures out a sequence of actions needed to achieve a goal.,"Planning is a classic subfield of AI research, historically central to robotics and game-playing systems, and increasingly relevant again with the rise of AI agents that need to figure out multi-step approaches to complex tasks rather than just answering a single question.",Advanced,5,Technical,active
markov-chain,Markov Chain,"A mathematical model describing a sequence of events where the next step depends only on the current state, not on the full history before it.","Markov chains are a foundational concept in probability and statistics that predate modern AI, but they still show up as building blocks in certain machine learning techniques, including some early language-modeling approaches and diffusion models.",Advanced,5,Technical,active
contrastive-learning,Contrastive Learning,"A training technique where a model learns by comparing similar and dissimilar examples, rather than from labeled correct answers.","Contrastive learning teaches a model to recognize what makes two things alike or different (for example, two photos of the same object from different angles versus photos of two different objects), which is useful for building strong representations without needing extensively labeled data. CLIP is a well-known example of a model trained this way.",Advanced,5,Technical,active
human-computer-interaction,Human-Computer Interaction (HCI),"The broader field studying how people interact with computer systems, only partly specific to AI.","HCI predates AI by decades and covers interface design, usability, and user experience broadly. It's included here because AI product design draws heavily on HCI principles, especially around trust, transparency, and managing user expectations of AI systems - but it's a much larger field than AI alone.",Advanced,5,Non-Technical,active
knowledge-representation-and-reasoning,Knowledge Representation and Reasoning (KR&R),The field of AI concerned with encoding information in structured forms a machine can use to reason and answer questions.,"KR&R is largely associated with older, symbolic AI approaches - representing facts, rules, and relationships explicitly so a system can perform logical reasoning over them. It underlies technologies like knowledge graphs and remains relevant in applications needing precise, explainable reasoning.",Advanced,5,Technical,active
singularity,Singularity,"A hypothetical future point where AI progress becomes so rapid and self-reinforcing that it's uncontrollable and irreversible, leading to unpredictable changes to civilization.","The singularity is a speculative, long-term concept discussed in AI futurism and policy circles, not a near-term product consideration. It's worth knowing mainly as a reference point you'll encounter in broader industry conversation about AI's long-term trajectory.",Advanced,5,Non-Technical,active
recursive-self-improvement,Recursive Self-Improvement,"A hypothetical scenario where an AI system improves itself without human intervention, potentially accelerating its own capabilities rapidly.","This is a core concept in AI safety and futurism discussions - the idea that an AI capable of designing improved successors to itself could trigger a rapid, hard-to-control capability increase. It remains speculative, though some AI labs are actively researching related capabilities.",Advanced,5,Non-Technical,active
foom,Foom,"AI-safety slang for a sudden, extremely rapid jump in AI capability - a fast or 'hard' takeoff toward superintelligence.","'Foom' is informal shorthand used within AI safety communities for scenarios where AI capability could increase explosively over a short time, potentially outpacing humanity's ability to respond or maintain control. It's speculative and mostly relevant as cultural/community vocabulary rather than an engineering concept.",Advanced,5,Non-Technical,active
fomu,FOMU,A concept in AI safety describing the risk of underestimating how hard it will be to control or manage risks from very fast AI development.,"FOMU (Fast Takeoff Oversight and Mitigation Underestimation) highlights a specific worry: that safeguards and oversight mechanisms might not be built fast enough to keep pace if AI capability increases as quickly as some fear. It's a niche coinage, related to but distinct from 'foom' (which describes the takeoff itself, not the risk of under-preparing for it).",Advanced,5,Non-Technical,active
paperclip-maximizer,Paperclip Maximizer,A famous thought experiment illustrating how an AI given a simple goal (make paperclips) could cause catastrophic harm by pursuing it too literally and single-mindedly.,"Coined by philosopher Nick Bostrom, the paperclip maximizer imagines an AI system tasked with producing paperclips that ends up converting all available resources - even ones valuable to humans - toward that single goal, with no regard for anything else. It's a widely-referenced illustration of the AI alignment problem.",Advanced,5,Non-Technical,active
doomer,Doomer,"Informal AI-culture slang for someone who believes advanced AI poses a severe, possibly catastrophic risk to humanity.","'Doomer' is used (sometimes critically, sometimes as self-description) to describe a pessimistic stance within the broader, often heated public debate about AI risk. It's useful mainly as vocabulary you'll encounter in AI industry and media discourse.",Advanced,5,Non-Technical,active
ramageddon,RAMageddon,"Slang for the 2026 shortage and price spike in computer memory (RAM) chips, driven largely by AI data center demand.","As AI labs and cloud providers buy up enormous quantities of memory chips to build out data centers, the resulting supply shortage has driven up prices across gaming, consumer electronics, and enterprise computing. It's a timely, of-the-moment term reflecting current supply-chain dynamics rather than a durable technical concept - its relevance may fade once the shortage resolves.",Advanced,5,Non-Technical,active
claw,Claw,"A recent, informal term for an autonomous AI agent that navigates a user's files and applications to complete tasks on their behalf.","This is a very new, niche coinage describing a specific style of AI agent that can 'claw' through a computer's files, browser, and other software to accomplish a task. Given how new and informal the term is, expect its usage to be inconsistent or short-lived compared to more established terms like 'AI agent.'",Advanced,5,Non-Technical,active
memory-cache,Memory Cache,A technique that stores and reuses previous calculations to make AI response generation faster and more efficient.,"Since generating AI responses involves repeating expensive calculations, caching lets a system save and reuse relevant computations rather than redoing them from scratch every time - a common technical optimization (like KV/key-value caching) used to reduce cost and latency in production AI systems.",Advanced,5,Technical,active
ai-psychosis,AI Psychosis,"An informal term describing cases where people become excessively fixated on or emotionally entangled with an AI chatbot, sometimes losing touch with reality.","This is not a clinical diagnosis, but a term that's emerged to describe a real and concerning pattern: intense, sustained interaction with a highly conversational chatbot leading some individuals toward delusional thinking or unhealthy emotional dependency. It's a good example of why Anthropomorphism and product-level guardrails around emotional engagement genuinely matter.",Advanced,5,Non-Technical,active
stochastic-parrot,Stochastic Parrot,A critical term describing how language models can produce convincing text without any real understanding of its meaning.,"The phrase draws an analogy to a parrot mimicking human speech - sounding fluent without comprehension. It's used by researchers and critics to push back against overstating what LLMs actually 'understand,' and it's a useful conceptual counterweight to anthropomorphizing AI systems.",Advanced,4,Non-Technical,active
federated-learning,Federated Learning,"A machine learning approach where a model is trained across many separate devices or servers, without the underlying data ever having to leave its original location.","Instead of pooling everyone's raw data into one central location to train a model, federated learning sends the model out to where the data already lives (like individual phones), trains locally, and only shares back the resulting learned updates - not the underlying data itself. This is a meaningful privacy advantage for use cases involving sensitive data, like health records or personal device usage, though it adds real coordination complexity compared to traditional centralized training.",Advanced,4,Technical,active
conversational-ai,Conversational AI,"Technology that enables natural, back-and-forth dialogue between a human and a machine - the underlying category that chatbots and voice assistants belong to.","Conversational AI is the broader technology category; Chatbot is the specific product form it usually takes. It encompasses the natural language understanding, dialogue management, and response generation needed to hold a coherent multi-turn conversation, whether delivered through text or voice. NOTE: this term was referenced from the Chatbot entry but omitted from the master cluster list during the original dedupe pass - added here to close that gap.",AI 101,2,Non-Technical,active
evaluations,Evaluations (Evals),"The process and tooling used to systematically measure how well an AI model or feature performs - checking accuracy, safety, and quality against a defined set of test cases before and after shipping changes.","Evals (short for evaluations) are the test suites and metrics teams use to answer whether an AI feature is actually good, and whether a recent change made it better or worse. A typical eval consists of a curated set of representative inputs (an eval set), a scoring method (rule-based checks, a human rubric, or another AI model acting as a judge), and a way to track results over time so regressions get caught before they reach users. For product managers, evals are the AI-era equivalent of a test suite or an A/B test framework - without them, most claims about a model or prompt change being 'better' are just anecdotes. Good evals matter more for generative AI than traditional software because outputs are open-ended and probabilistic, so pass/fail unit tests don't capture most of what can go wrong.",Technical-for-PMs,1,Technical,active
ai-for-product-management,AI for Product Management,"Using AI tools and techniques inside the product management workflow itself, not just building AI into the product.","Covers PMs using AI for tasks like synthesizing user research, drafting specs, analyzing usage data, or generating roadmap options. Distinct from building AI-powered features for customers — this is about augmenting the PM's own process.",Product Strategy & Vision,2,Non-Technical,active
behavioral-product-management,Behavioral Product Management,"An approach to product decisions informed by behavioral psychology — how people actually act, not just what they say.","Applies concepts like cognitive bias, habit formation, and nudges to product design and strategy. PMs use it to explain gaps between stated user preferences and actual behavior, and to design features that account for real decision-making patterns.",Product Strategy & Vision,2,Non-Technical,active
bottom-up-approach,Bottom-Up Approach,"Building strategy or estimates from granular, ground-level detail up to the big picture, rather than starting from a top-down target.","In product work this might mean building a roadmap from individual customer problems and engineering capacity rather than from an executive-set target, or estimating a project by summing task-level estimates. Contrasts with Top-Down Approach.",Product Strategy & Vision,2,Non-Technical,active
business-agility,Business Agility,"An organization's ability to sense change and adapt its strategy, structure, and processes quickly.","Broader than team-level Agile delivery — business agility is about the whole company (not just engineering) being able to reprioritize, reallocate, and respond to market shifts without being slowed by rigid planning cycles or org structure.",Product Strategy & Vision,2,Non-Technical,active
business-model-canvas,Business Model Canvas,"A one-page visual template for mapping out how a business creates, delivers, and captures value.","Popularized by Alexander Osterwalder, it breaks a business into nine blocks (value propositions, customer segments, channels, revenue streams, etc.). PMs use it early in strategy work to pressure-test a product idea's viability before writing a full business case.",Product Strategy & Vision,1,Non-Technical,active
business-requirement-document,Business Requirement Document,"A document describing the business need and objectives a project must satisfy, without specifying how it will be built.","Typically written earlier and at a higher level than a PRD — it explains the 'why' from a business stakeholder's perspective (ROI, market need, success criteria) and feeds into more detailed requirements documents.",Product Strategy & Vision,2,Non-Technical,active
business-transformation,Business Transformation,"A significant, organization-wide change to how a company operates, competes, or delivers value.","Broader than a single product initiative — often involves new business models, restructured teams, or new technology platforms. Product leaders get pulled into business transformation efforts when the product portfolio itself needs to shift to support the new direction.",Product Strategy & Vision,2,Non-Technical,active
cannibalization,Cannibalization,"When a new product or feature takes sales/usage away from an existing product in the same portfolio, rather than growing the overall market.","A key consideration in product-line strategy: is a new offering expanding the pie, or just splitting it differently? PMs weigh cannibalization risk against the upside of not losing that segment to a competitor instead.",Product Strategy & Vision,1,Non-Technical,active
differentiation,Differentiation,What makes a product meaningfully different from competing alternatives in ways customers value.,"A core strategic question for PMs: differentiation can come from features, price, experience, brand, or distribution. Weak differentiation is a common reason products struggle to gain traction even with solid execution.",Product Strategy & Vision,2,Non-Technical,active
digital-transformation,Digital Transformation,"An organization's shift toward digital technology and data-driven ways of working across its operations, not just its products.","Often spans far beyond any one product team — legacy process redesign, cloud migration, new customer-facing channels. PMs are frequently asked to lead or support these initiatives because they sit at the intersection of business need and technology.",Product Strategy & Vision,1,Non-Technical,active
digital-transformation-in-product-management,Digital Transformation in Product Management,How the product management discipline itself changes as an organization adopts digital-first ways of working.,"Involves shifts like moving from annual release cycles to continuous delivery, from intuition-based to data-informed decisions, and from siloed handoffs to cross-functional product teams.",Product Strategy & Vision,2,Non-Technical,active
disruption,Disruption,"A shift in a market where a new entrant or approach displaces established products or players, often by serving an underserved segment first.",Related to but broader than Clayton Christensen's specific theory of Disruptive Innovation. PMs use the term loosely to describe any market-reshaping shift they need to respond to strategically.,Product Strategy & Vision,2,Non-Technical,active
disruptive-innovation,Disruptive Innovation,"Clayton Christensen's theory describing how simpler, cheaper products can start in a market's low end or a new segment and eventually displace established incumbents.","Distinct from just 'a big innovation' — the defining trait is that it initially looks unattractive to incumbents (lower margins, smaller market) before improving enough to take over the mainstream market. A foundational lens in product strategy discussions.",Product Strategy & Vision,1,Non-Technical,active
distinctive-competence,Distinctive Competence,"A capability a company does distinctly better than competitors, which underpins its competitive advantage.","Strategy term PMs use when deciding where to invest: build on what the organization is already distinctively good at, rather than chasing every opportunity a competitor pursues.",Product Strategy & Vision,2,Non-Technical,active
end-user-era,End-User Era,"A framing for the current period of product strategy where individual end users, not just purchasing organizations, drive adoption and buying decisions.","Associated with the rise of product-led growth: even in B2B, individual users now discover, try, and champion tools bottom-up rather than IT/procurement selecting them top-down.",Product Strategy & Vision,2,Non-Technical,active
enterprise-transformation,Enterprise Transformation,"Large-scale change across an entire enterprise's strategy, operating model, and technology — the enterprise-scale version of business transformation.",Product leaders in large organizations may be asked to align product strategy and roadmaps with a broader enterprise transformation initiative spanning multiple business units.,Product Strategy & Vision,2,Non-Technical,active
functional-requirement-document,Functional Requirement Document,"A document specifying exactly what a system must do — its functions, inputs, outputs, and behavior — for engineering to build against.","More technical and detailed than a Business Requirement Document; sits closer to (or sometimes overlaps with) a PRD, focused on functional behavior rather than business justification.",Product Strategy & Vision,2,Non-Technical,active
